,EventTime,Origin,Destination
0,2021.880267,UNKNOWN,Southern
1,2023.087667,Southern,Gauteng
2,2023.030137,Southern,Central
3,2023.073977,Central,Southern
4,2023.087667,Southern,Gauteng
5,2023.112327,Southern,Northern
6,2023.112327,Northern,Southern
7,2023.024657,Southern,Central
8,2023.060267,Southern,Central
9,2023.052067,Southern,Gauteng
10,2023.109587,Gauteng,Southern
11,2023.054797,Southern,Central
12,2023.104107,Central,Southern
13,2022.938357,Southern,Central
14,2023.065747,Central,Southern
15,2023.035607,Southern,Central
16,2023.046567,Southern,Central
17,2023.049307,Southern,Central
18,2023.098617,Central,Southern
19,2023.032877,Southern,Central
20,2023.0383570000001,Southern,Central
21,2023.090407,Central,Southern
22,2023.0520470000001,Southern,Central
23,2023.101357,Central,Southern
